listing_id,name,street,type,bathrooms,district,region,planning_area,subszone,built_year,no_of_units,area_size,date_listed,price,bedrooms,tenure_remains,tenure_years
6998418,seascape,57 cove way ,condominium,4.0,4,central region,southern islands,sentosa,2011.0,151.0,2336.0,2021-05-04,5390000.0,3.0,99,99
2046604,la maison,10 moulmein rise ,apartment,3.0,11,central region,novena,moulmein,1999.0,24.0,1259.0,2021-05-07,2310000.0,3.0,1000000,999
7563513,viva,2 suffolk walk ,condominium,3.0,11,central region,novena,moulmein,2012.0,235.0,1959.0,2021-06-30,5279500.0,4.0,1000000,999
3071445,urban treasures,205 jalan eunos ,condominium,2.0,14,east region,bedok,kaki bukit,1930.0,237.0,883.0,2022-01-02,1843600.0,3.0,1000000,999
9667539,infini at east coast,east coast road,apartment,3.0,15,east region,bedok,frankel,2022.0,36.0,1066.0,2021-12-24,2262700.0,3.0,1000000,999
5203525,the watergardens at canberra,canberra drive,apartment,1.0,27,north region,sembawang,sembawang springs,1930.0,448.0,678.0,2022-01-04,1131900.0,2.0,99,99
6668762,midwood,hillview rise,condominium,3.0,23,west region,bukit batok,hillview,1930.0,564.0,1249.0,2022-01-05,2189000.0,4.0,99,99
6273506,sengkang grand residences,compassvale bow,apartment,2.0,19,north-east region,sengkang,compassvale,2023.0,680.0,936.0,2021-12-17,1595000.0,3.0,99,99
8312062,midtown bay,122 beach road ,apartment,1.0,7,central region,downtown core,city hall,2021.0,219.0,409.0,2021-12-25,1490500.0,1.0,99,99
3155074,76 shenton,76 shenton way ,apartment,1.0,2,central region,downtown core,anson,2014.0,202.0,592.0,2021-09-24,1265000.0,1.0,99,99
9963932,nouvel 18,18 anderson road ,condominium,3.0,10,central region,newton,orange grove,2014.0,156.0,1765.0,2021-07-28,5439500.0,3.5,1000000,999
8744315,midtown modern,tan quee lan street,apartment,2.0,7,central region,downtown core,bugis,1930.0,558.0,904.0,2021-12-26,2684000.0,3.0,99,99
4245267,tampines street 11,tampines street 11,condominium,2.0,18,east region,tampines,tampines east,1982.0,,1033.0,2021-12-07,1705000.0,3.0,0,99
2412804,grandeur park residences,3 bedok south avenue 3 ,condominium,1.0,16,east region,bedok,bedok south,2020.0,720.0,560.0,2021-12-30,1031800.0,2.0,99,99
8972716,east meadows,32 tanah merah kechil road ,condominium,2.0,16,east region,bedok,bedok north,2002.0,482.0,1238.0,2021-12-20,1485000.0,3.5,99,99
2882890,the line @ tanjong rhu,6 tanjong rhu road ,condominium,,15,central region,kallang,tanjong rhu,2016.0,130.0,1216.0,2021-12-24,2809000.0,3.0,1000000,999
1923356,the sail @ marina bay,marina boulevard,apartment,2.0,1,central region,downtown core,central subzone,2008.0,1111.0,861.0,2021-10-12,1870000.0,2.0,99,99
4865386,marina collection,cove drive,condominium,4.0,4,central region,southern islands,sentosa,2011.0,124.0,2519.0,2021-11-01,5087500.0,4.0,99,99
1598765,midtown bay,beach road,apartment,3.0,7,central region,downtown core,city hall,2021.0,219.0,1324.0,2021-12-21,4610300.0,3.0,99,99
8924310,eden residences capitol,11 stamford road ,apartment,4.0,6,central region,downtown core,city hall,2016.0,39.0,5963.0,2021-06-11,24742700.0,4.0,99,99
3335531,avenue south residence,1 silat avenue ,apartment,2.0,3,central region,bukit merah,kampong tiong bahru,1930.0,1074.0,689.0,2022-01-05,1636800.0,2.0,99,99
1681309,sol acres,choa chu kang grove,condominium,1.0,23,west region,choa chu kang,keat hong,2018.0,1327.0,570.0,2021-12-17,768900.0,1.0,99,99
9391330,van holland,holland road,condominium,3.0,10,central region,bukit timah,leedon park,2023.0,69.0,1130.0,2021-12-28,3480400.0,3.0,1000000,999
9313733,one pearl bank,pearl bank,apartment,2.0,3,central region,outram,pearl's hill,1930.0,774.0,570.0,2021-12-16,2092200.0,2.0,99,99
8846122,normanton park,59 normanton park ,apartment,2.0,5,central region,queenstown,kent ridge,1930.0,1862.0,915.0,2021-12-11,1760000.0,3.0,99,99
8453847,corals at keppel bay,keppel bay drive,condominium,2.0,4,central region,bukit merah,maritime square,2016.0,366.0,969.0,2021-10-12,1881000.0,2.0,99,99
6932548,grange 1866,grange road,apartment,1.0,10,central region,river valley,one tree hill,2013.0,60.0,527.0,2021-12-29,1580700.0,1.0,1000000,999
8207021,marina one residences,marina way,apartment,2.0,1,central region,downtown core,central subzone,2017.0,1042.0,1518.0,2021-10-05,4312000.0,3.0,99,99
7119720,rivergate,robertson quay,apartment,3.0,9,central region,singapore river,robertson quay,2009.0,545.0,1496.0,2021-10-04,4620000.0,3.0,1000000,999
4607997,riverbank @ fernvale,15 fernvale close ,condominium,3.0,28,north-east region,sengkang,fernvale,2016.0,555.0,1055.0,2021-12-21,1104400.0,3.5,99,99
7569205,cairnhill plaza,53 cairnhill road ,apartment,5.0,9,central region,newton,cairnhill,1978.0,204.0,3305.0,2021-12-29,7920000.0,4.0,1000000,999
6532392,sennett residence,37 pheng geck avenue ,condominium,1.0,13,central region,toa payoh,sennett,2016.0,332.0,872.0,2021-09-22,1408000.0,2.0,99,99
9160807,emerald park,2 indus road ,condominium,2.0,3,central region,bukit merah,bukit ho swee,1993.0,280.0,926.0,2021-01-05,1540000.0,2.0,99,99
7816877,bijou,2 jalan mat jambol ,apartment,1.0,5,central region,queenstown,pasir panjang 2,2018.0,120.0,603.0,2021-11-24,1443800.0,1.5,1000000,999
1419570,stars of kovan,upper serangoon road,apartment,2.0,19,north-east region,hougang,lorong ah soo,2019.0,395.0,743.0,2021-12-18,1485000.0,2.0,99,99
9242840,oue twin peaks,33 leonie hill road ,condominium,1.0,9,central region,river valley,leonie hill,2015.0,462.0,549.0,2021-11-05,1848000.0,1.0,99,99
6038175,the watergardens at canberra,47 canberra drive ,apartment,3.0,27,north region,sembawang,sembawang springs,1930.0,448.0,1302.0,2021-12-28,2050400.0,4.0,99,99
7084654,bartley ridge,42 mount vernon road ,condominium,1.0,13,central region,toa payoh,joo seng,2016.0,868.0,463.0,2021-01-25,748000.0,1.0,99,99
1432240,26 newton,26 newton road ,apartment,2.0,11,central region,novena,moulmein,2016.0,180.0,775.0,2021-12-23,2176900.0,2.5,1000000,999
5125268,marina one residences,21 marina way ,apartment,2.0,1,central region,downtown core,central subzone,2017.0,1042.0,1005.0,2021-10-12,2860000.0,2.0,99,99
2997568,juniper hill,ewe boon road,apartment,1.0,10,central region,tanglin,nassim,1930.0,115.0,635.0,2021-12-19,1892000.0,2.0,1000000,999
5445336,forett@bukit timah,32 toh tuck road ,apartment,3.0,21,central region,bukit timah,anak bukit,1930.0,,1033.0,2022-01-05,2263800.0,3.0,1000000,999
8805829,hedges park condominium,83 flora drive ,condominium,4.0,17,east region,pasir ris,flora drive,2015.0,501.0,1539.0,2021-12-28,1859000.0,4.0,99,99
5071861,marina one residences,23 marina way ,apartment,1.0,1,central region,downtown core,central subzone,2017.0,1042.0,732.0,2022-01-01,1837000.0,1.0,99,99
2754813,sims urban oasis,2 sims urban oasis ,condominium,1.0,14,central region,geylang,aljunied,2013.0,1024.0,560.0,2022-01-04,946000.0,1.0,99,99
1938182,zyanya,lorong 25a geylang,apartment,3.0,14,central region,geylang,aljunied,1930.0,34.0,1313.0,2021-12-10,2168100.0,4.0,1000000,999
6001170,corals at keppel bay,keppel bay drive,condominium,3.0,4,central region,bukit merah,maritime square,2016.0,366.0,1500.0,2021-12-28,3850000.0,3.0,99,99
