name,built_year
infini at east coast,2022
sengkang grand residences,
tampines street 11,
van holland,
one-north eden,
provence residence,
affinity at serangoon,
sims avenue,
bartley vue,
the avenir,
boulevard 88,
mori,
lorong 34 geylang,
residence twenty-two,
39 flower road,
riverfront residences,
peak residence,
35 gilstead,
holland grove road,
brookvale drive,
parc central residences,
perfect ten,
parc greenwich,
wilshire residences,
the arden,
fernvale link,
shunfu road,
jadescape,
fernvale road,
the tre ver,
phoenix residences,
the antares,
beach road,
hougang avenue 7,
jalan lempeng,
ikigai,
pasir ris heights,
yishun close,
the commodore,
river valley road,
upper boon keng road,
77 @ east coast,
lattice one,
jalan kemaman,
canberra walk,
haus on handy,
19 nassim,
phoenix road,
shenton way,
harbour view gardens,
rv altitude,
phoenix garden,
yong siak street,
westwood avenue,
balestier road,
choa chu kang avenue 4,
cairnhill 16,
m suites,
yishun ring road,
jalan molek,
west coast crescent,
amber sea,
serangoon north avenue 1,
rochester drive,
upper changi road east,
punggol field,
tampines street 45,
royal hallmark,
serangoon central drive,
hillside drive,
hougang central,
the linq @ beauty world,
belgravia drive,
arthur road,
lorong 6 toa payoh,
parc esta,
eu tong sen street,
guillemard road,
canberra street,
laurel tree,
balmoral park,
chestnut crescent,
swiss view,
dunearn 386,
edgedale plains,
lew lian vale,
piermont grand,
slim barracks rise,
olloi,
phoenix avenue,
tanah merah kechil ridge,
mount sophia,
dalvey estate,
sumang walk,
broadrick road,
liv @ mb,
victoria street,
fraser street,
simon lane,
punggol walk,
jalan bunga rampai,
highgate crescent,
marne road,
how sun road,
hindhede drive,
fifth avenue,
jalan remaja,
lorong 40 geylang,
toh tuck road,
marine drive,
changi road,
jalan rendang,
lewis road,
noma,
punggol drive,
les maisons nassim,
tanjong katong road,
cashew road,
jervois road,
perumal road,
pasir ris central street 3,
makeway avenue,
bencoolen house,
rezi 24,
yishun avenue 1,
bukit timah road,
jurong west central 3,
prince charles crescent,
margate road,
foo kim lin road,
saint patrick's road,
lorong h telok kurau,
draycott park,
buangkok crescent,
ang mo kio avenue 2,
toh tuck drive,
king albert park,
scotts road,
compassvale bow,
dundee road,
upper bukit timah road,
loyang view,
simei street 1,
draycott drive,
tanglin hill,
fernvale lane,
sin ming avenue,
jalan suka,
lorong marzuki,
mount echo park,
richards avenue,
flanders square,
leedon heights,
amber gardens,
opal crescent,
balmoral road,
thomson road,
jalan intan,
sophia road,
1208 upper boon keng road,
ps100,
north gaia,
sing joo walk,
carpmael thirty-eight,
hougang avenue 3,
eng hoon street,
punggol central,
geylang road,
joo chiat place,
clarke quay,
compassvale road,
farrer road,
hougang avenue 2,
anchorvale link,
moulmein rise,
cairnhill road,
rivervale drive,
lorong k telok kurau,
macpherson road,
lorong 1a toa payoh,
oxley road,
sycamore tree,
chancery lane,
horne road,
river valley close,
harbourfront place,
how sun close,
upper changi road north,
hume avenue,
jalan layang layang,
toa payoh north,
east coast road,
the rochester,
arena residences,
lorong l telok kurau,
fernvale close,
west coast walk,
parkway apartment,
almond avenue,
lloyd road,
toh tuck place,
dyson road,
chwee chian view,
trevose crescent,
tan quee lan street,
woodlands drive 16,
joo chiat road,
alexandra road,
woodgrove avenue,
dublin road,
seraya lane,
yishun central,
stirling road,
ellington square,
gerald drive,
jalan lapang,
telok kurau road,
dairy farm heights,
